cdscod,cds,adcod,ad,voto
G8501R,"[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA",G8501R038,"[G8501R038] LETTERATURA PER L'INFANZIA CON LABORATORIO E AMBIENTI DIGITALI PER LA FORMAZIONE",29.0842105263158
G8501R,"[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA",G8501R028,"[G8501R028] MUSICA E DIDATTICA DELLA MUSICA CON LABORATORIO",28.9581395348837
H4101D,"[H4101D] MEDICINA E CHIRURGIA",H4101D026,"[H4101D026] PSICHIATRIA E PSICOLOGIA CLINICA",29.3931623931624
H4101D,"[H4101D] MEDICINA E CHIRURGIA",H4101D030,"[H4101D030] OSTETRICIA E GINECOLOGIA",29.3762376237624
H4101D,"[H4101D] MEDICINA E CHIRURGIA",H4101D028,"[H4101D028] CLINICA ORTOPEDICA E TRAUMATOLOGICA",29.2882882882883
H4601D,"[H4601D] ODONTOIATRIA E PROTESI DENTARIA",H4601D011,"[H4601D011] MATERIALI DENTARI",30.0
H4601D,"[H4601D] ODONTOIATRIA E PROTESI DENTARIA",H4601D025,"[H4601D025] PEDODONZIA",30.0
H4601D,"[H4601D] ODONTOIATRIA E PROTESI DENTARIA",H4601D027,"[H4601D027] CLINICA ODONTOSTOMATOLOGICA",30.0
I0101D,"[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)",I0101D904,"[I0101D904] TIROCINIO 3",28.2686567164179
I0101D,"[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)",I0101D011,"[I0101D011] ASSISTENZA INFERMIERISTICA IN MEDICINA SPECIALISTICA",27.421686746988
I0101D,"[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE)",I0101D903,"[I0101D903] TIROCINIO 2",26.9481132075472
I0102D,"[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O)",I0102D113,"[I0102D113] TIROCINIO 3",28.6206896551724
I0102D,"[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O)",I0102D017,"[I0102D017] FISIOPATOLOGIA GENERALE E GINECOLOGIA",28.5333333333333
I0102D,"[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O)",I0102D012,"[I0102D012] RICERCA OSTETRICO-GINECOLOGICA E NEONATALE",28.5
I0201D,"[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA)",I0201D120,"[I0201D120] TIROCINIO III",28.8076923076923
I0201D,"[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA)",I0201D107,"[I0201D107] TIROCINIO I",28.7758620689655
I0201D,"[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA)",I0201D114,"[I0201D114] TIROCINIO II",28.3703703703704
I0202D,"[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA)",I0202D117,"[I0202D117] SCIENZE MEDICO CHIRURGICHE E CLINICHE SPECIALISTICHE",29.9565217391304
I0202D,"[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA)",I0202D115,"[I0202D115] RESPONSABILITA? PROFESSIONALI FORMATIVE E GESTIONALI ED ORGANIZZAZIONE SANITARIA",28.95
I0202D,"[I0202D] TERAPIA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TERAPISTA DELLA NEURO E PSICOMOTRICITÀ DELL'ETÀ EVOLUTIVA)",I0202D113,"[I0202D113] NEUROPSICHIATRIA INFANTILE E SCIENZE PEDIATRICHE",28.2380952380952
I0301D,"[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE)",I0301D012,"[I0301D012] TIROCINIO 2",29.5652173913043
I0301D,"[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE)",I0301D005,"[I0301D005] FISIOPATOLOGIA ODONTOSTOMATOLOGICA E PRINCIPI DI PREVENZIONE ORO-DENTALE",29.375
I0301D,"[I0301D] IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE)",I0301D014,"[I0301D014] DISCIPLINE ODONTOSTOMATOLOGICHE",28.88
I0302D,"[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO)",I0302D020,"[I0302D020] TIROCINIO 3",29.5
I0302D,"[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO)",I0302D006,"[I0302D006] TIROCINIO 1",28.375
I0302D,"[I0302D] TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO)",I0302D013,"[I0302D013] TIROCINIO 2",27.88
I0303D,"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",I0303D016,"[I0303D016] TIROCINIO III",29.8571428571429
I0303D,"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",I0303D009,"[I0303D009] TIROCINIO II",29.55
I0303D,"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",I0303D004,"[I0303D004] TIROCINIO I",29.375
K0101D,"[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE",K0101D012,"[K0101D012] TIROCINIO",29.7
K0101D,"[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE",K0101D011,"[K0101D011] DINAMICHE DEI PROCESSI LAVORATIVI",29.5882352941176
K0101D,"[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE",K0101D008,"[K0101D008] METODOLOGIE DIDATTICHE NELLE SCIENZE INFERMIERISTICHE E OSTETRICHE",29.0588235294118
